press=(369.85, 910.46) delta=(289.26, 0.00) began=True reject=
f1 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f2 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f3 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f4 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f5 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f6 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f7 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f8 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f9 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f10 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f11 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f12 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f13 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f14 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f15 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f16 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f17 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f18 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f19 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f20 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f21 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f22 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f23 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f24 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f25 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f26 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f27 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f28 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f29 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
f30 logical=(1, 4) desired=(2, 4) dirLocked=True dir=(1, 0) req=(4, 4)
